Metric ID,Metric Description,Grouping Level,Grouping Description,Region or Coverage Category,Age Inpatient Type,Year,Quarter,Numerator,Denominator,Rate,YTD Numerator,YTD Denominator,YTD Rate
1,7-Day MH Follow-up,1,STATEWIDE,STATEWIDE,Adult-Art28 and 31,2018,Q1,4219,8678,0.486171929,4219,8678,0.486171929
1,7-Day MH Follow-up,1,STATEWIDE,STATEWIDE,Youth-Art28 and 31,2018,Q1,1579,2696,0.585682493,1579,2696,0.585682493
1,7-Day MH Follow-up,2,COVERAGE CATEGORY,FFS,Adult-Art28 and 31,2018,Q1,641,2378,0.269554247,641,2378,0.269554247
1,7-Day MH Follow-up,2,COVERAGE CATEGORY,FFS,Youth-Art28 and 31,2018,Q1,172,490,0.351020408,172,490,0.351020408
1,7-Day MH Follow-up,2,COVERAGE CATEGORY,HARP,Adult-Art28 and 31,2018,Q1,1386,2285,0.606564551,1386,2285,0.606564551
1,7-Day MH Follow-up,2,COVERAGE CATEGORY,HIV SNP,Adult-Art28 and 31,2018,Q1,18,66,0.272727273,18,66,0.272727273
1,7-Day MH Follow-up,2,COVERAGE CATEGORY,HIV SNP,Youth-Art28 and 31,2018,Q1,1,1,1,1,1,1
1,7-Day MH Follow-up,2,COVERAGE CATEGORY,MAINSTREAM,Adult-Art28 and 31,2018,Q1,2174,3949,0.550519119,2174,3949,0.550519119
1,7-Day MH Follow-up,2,COVERAGE CATEGORY,MAINSTREAM,Youth-Art28 and 31,2018,Q1,1406,2205,0.637641723,1406,2205,0.637641723
1,7-Day MH Follow-up,3,PROVIDER REGION,NEW YORK CITY,Adult-Art28 and 31,2018,Q1,2159,4757,0.453857473,2159,4757,0.453857473
1,7-Day MH Follow-up,3,PROVIDER REGION,NEW YORK CITY,Youth-Art28 and 31,2018,Q1,716,1240,0.577419355,716,1240,0.577419355
1,7-Day MH Follow-up,3,PROVIDER REGION,REST OF STATE,Adult-Art28 and 31,2018,Q1,2060,3921,0.52537618,2060,3921,0.52537618
1,7-Day MH Follow-up,3,PROVIDER REGION,REST OF STATE,Youth-Art28 and 31,2018,Q1,863,1456,0.59271978,863,1456,0.59271978
1,7-Day MH Follow-up,4,COVERAGE CATEGORY BY PROVIDER REGION,FFS-NEW YORK CITY,Adult-Art28 and 31,2018,Q1,281,1400,0.200714286,281,1400,0.200714286
1,7-Day MH Follow-up,4,COVERAGE CATEGORY BY PROVIDER REGION,FFS-NEW YORK CITY,Youth-Art28 and 31,2018,Q1,75,227,0.330396476,75,227,0.330396476
1,7-Day MH Follow-up,4,COVERAGE CATEGORY BY PROVIDER REGION,FFS-REST OF STATE,Adult-Art28 and 31,2018,Q1,360,978,0.36809816,360,978,0.36809816
1,7-Day MH Follow-up,4,COVERAGE CATEGORY BY PROVIDER REGION,FFS-REST OF STATE,Youth-Art28 and 31,2018,Q1,97,263,0.368821293,97,263,0.368821293
1,7-Day MH Follow-up,4,COVERAGE CATEGORY BY PROVIDER REGION,HARP-NEW YORK CITY,Adult-Art28 and 31,2018,Q1,835,1344,0.621279762,835,1344,0.621279762
1,7-Day MH Follow-up,4,COVERAGE CATEGORY BY PROVIDER REGION,HARP-REST OF STATE,Adult-Art28 and 31,2018,Q1,551,941,0.58554729,551,941,0.58554729
1,7-Day MH Follow-up,4,COVERAGE CATEGORY BY PROVIDER REGION,HIV SNP-NEW YORK CITY,Adult-Art28 and 31,2018,Q1,18,66,0.272727273,18,66,0.272727273
1,7-Day MH Follow-up,4,COVERAGE CATEGORY BY PROVIDER REGION,HIV SNP-NEW YORK CITY,Youth-Art28 and 31,2018,Q1,1,1,1,1,1,1
1,7-Day MH Follow-up,4,COVERAGE CATEGORY BY PROVIDER REGION,MAINSTREAM-NEW YORK CITY,Adult-Art28 and 31,2018,Q1,1025,1947,0.52645095,1025,1947,0.52645095
1,7-Day MH Follow-up,4,COVERAGE CATEGORY BY PROVIDER REGION,MAINSTREAM-NEW YORK CITY,Youth-Art28 and 31,2018,Q1,640,1012,0.632411067,640,1012,0.632411067
