Metric ID,Metric Description,Grouping Level,Grouping Description,Region or Coverage Category,Age Inpatient Type,Year,Quarter,Numerator,Denominator,Rate,YTD Numerator,YTD Denominator,YTD Rate
6,30-Day MH Medication Fill (1st Psychotropic Rx),1,STATEWIDE,STATEWIDE,Adult-Art28 and 31,2014,Q1,5128,8323,0.616123994,5128,8323,0.616123994
6,30-Day MH Medication Fill (1st Psychotropic Rx),1,STATEWIDE,STATEWIDE,Adult-Art28 and 31,2014,Q2,5757,9054,0.635851557,10885,17377,0.626402716
6,30-Day MH Medication Fill (1st Psychotropic Rx),1,STATEWIDE,STATEWIDE,Adult-Art28 and 31,2014,Q3,6092,9467,0.643498468,16977,26844,0.632431828
6,30-Day MH Medication Fill (1st Psychotropic Rx),1,STATEWIDE,STATEWIDE,Adult-Art28 and 31,2014,Q4,5686,9040,0.628982301,22663,35884,0.631562814
6,30-Day MH Medication Fill (1st Psychotropic Rx),1,STATEWIDE,STATEWIDE,Adult-Art28 and 31,2015,Q1,5642,8743,0.645316253,5642,8743,0.645316253
6,30-Day MH Medication Fill (1st Psychotropic Rx),1,STATEWIDE,STATEWIDE,Adult-Art28 and 31,2015,Q2,5977,9379,0.637274763,11619,18122,0.641154398
6,30-Day MH Medication Fill (1st Psychotropic Rx),1,STATEWIDE,STATEWIDE,Adult-Art28 and 31,2015,Q3,5974,9522,0.627389204,17593,27644,0.636412965
6,30-Day MH Medication Fill (1st Psychotropic Rx),1,STATEWIDE,STATEWIDE,Adult-Art28 and 31,2015,Q4,5776,9240,0.625108225,23369,36884,0.633580957
6,30-Day MH Medication Fill (1st Psychotropic Rx),1,STATEWIDE,STATEWIDE,Adult-Art28 and 31,2016,Q1,5770,9011,0.640328487,5770,9011,0.640328487
6,30-Day MH Medication Fill (1st Psychotropic Rx),1,STATEWIDE,STATEWIDE,Adult-Art28 and 31,2016,Q2,6032,9277,0.650210197,11802,18288,0.645341207
6,30-Day MH Medication Fill (1st Psychotropic Rx),1,STATEWIDE,STATEWIDE,Adult-Art28 and 31,2016,Q3,5979,9305,0.642557765,17781,27593,0.644402566
6,30-Day MH Medication Fill (1st Psychotropic Rx),1,STATEWIDE,STATEWIDE,Adult-Art28 and 31,2016,Q4,5472,8630,0.634067207,23253,36223,0.641940204
6,30-Day MH Medication Fill (1st Psychotropic Rx),1,STATEWIDE,STATEWIDE,Adult-Art28 and 31,2017,Q1,5785,9099,0.635784152,5785,9099,0.635784152
6,30-Day MH Medication Fill (1st Psychotropic Rx),1,STATEWIDE,STATEWIDE,Adult-Art28 and 31,2017,Q2,6020,9534,0.631424376,11805,18633,0.633553373
6,30-Day MH Medication Fill (1st Psychotropic Rx),1,STATEWIDE,STATEWIDE,Adult-Art28 and 31,2017,Q3,6080,9495,0.640337019,17885,28128,0.635843288
6,30-Day MH Medication Fill (1st Psychotropic Rx),1,STATEWIDE,STATEWIDE,Adult-Art28 and 31,2017,Q4,5612,8853,0.633909409,23497,36981,0.63538033
6,30-Day MH Medication Fill (1st Psychotropic Rx),1,STATEWIDE,STATEWIDE,Youth-Art28 and 31,2014,Q1,1816,2584,0.702786378,1816,2584,0.702786378
6,30-Day MH Medication Fill (1st Psychotropic Rx),1,STATEWIDE,STATEWIDE,Youth-Art28 and 31,2014,Q2,2037,2846,0.715741391,3853,5430,0.709576427
6,30-Day MH Medication Fill (1st Psychotropic Rx),1,STATEWIDE,STATEWIDE,Youth-Art28 and 31,2014,Q3,1655,2363,0.700380872,5508,7793,0.706788143
6,30-Day MH Medication Fill (1st Psychotropic Rx),1,STATEWIDE,STATEWIDE,Youth-Art28 and 31,2014,Q4,1976,2845,0.694551845,7484,10638,0.703515698
6,30-Day MH Medication Fill (1st Psychotropic Rx),1,STATEWIDE,STATEWIDE,Youth-Art28 and 31,2015,Q1,1951,2767,0.705095772,1951,2767,0.705095772
6,30-Day MH Medication Fill (1st Psychotropic Rx),1,STATEWIDE,STATEWIDE,Youth-Art28 and 31,2015,Q2,2115,2955,0.715736041,4066,5722,0.710590703
6,30-Day MH Medication Fill (1st Psychotropic Rx),1,STATEWIDE,STATEWIDE,Youth-Art28 and 31,2015,Q3,1581,2304,0.686197917,5647,8026,0.703588338
6,30-Day MH Medication Fill (1st Psychotropic Rx),1,STATEWIDE,STATEWIDE,Youth-Art28 and 31,2015,Q4,1998,2857,0.699334967,7645,10883,0.702471745
6,30-Day MH Medication Fill (1st Psychotropic Rx),1,STATEWIDE,STATEWIDE,Youth-Art28 and 31,2016,Q1,1668,2413,0.691255698,1668,2413,0.691255698
6,30-Day MH Medication Fill (1st Psychotropic Rx),1,STATEWIDE,STATEWIDE,Youth-Art28 and 31,2016,Q2,1874,2706,0.692535107,3542,5119,0.691932018
6,30-Day MH Medication Fill (1st Psychotropic Rx),1,STATEWIDE,STATEWIDE,Youth-Art28 and 31,2016,Q3,1429,2144,0.666511194,4971,7263,0.684427922
6,30-Day MH Medication Fill (1st Psychotropic Rx),1,STATEWIDE,STATEWIDE,Youth-Art28 and 31,2016,Q4,1783,2560,0.696484375,6754,9823,0.687569989
6,30-Day MH Medication Fill (1st Psychotropic Rx),1,STATEWIDE,STATEWIDE,Youth-Art28 and 31,2017,Q1,1817,2692,0.674962853,1817,2692,0.674962853
6,30-Day MH Medication Fill (1st Psychotropic Rx),1,STATEWIDE,STATEWIDE,Youth-Art28 and 31,2017,Q2,1913,2850,0.67122807,3730,5542,0.673042223
6,30-Day MH Medication Fill (1st Psychotropic Rx),1,STATEWIDE,STATEWIDE,Youth-Art28 and 31,2017,Q3,1374,2084,0.659309021,5104,7626,0.669289274
6,30-Day MH Medication Fill (1st Psychotropic Rx),1,STATEWIDE,STATEWIDE,Youth-Art28 and 31,2017,Q4,1916,2756,0.69521045,7020,10382,0.676170295
6,30-Day MH Medication Fill (1st Psychotropic Rx),2,COVERAGE CATEGORY,FFS,Adult-Art28 and 31,2014,Q1,1009,3024,0.333664021,1009,3024,0.333664021
6,30-Day MH Medication Fill (1st Psychotropic Rx),2,COVERAGE CATEGORY,FFS,Adult-Art28 and 31,2014,Q2,1126,3133,0.359399936,2135,6157,0.346759786
6,30-Day MH Medication Fill (1st Psychotropic Rx),2,COVERAGE CATEGORY,FFS,Adult-Art28 and 31,2014,Q3,1226,3243,0.37804502,3361,9400,0.357553191
6,30-Day MH Medication Fill (1st Psychotropic Rx),2,COVERAGE CATEGORY,FFS,Adult-Art28 and 31,2014,Q4,1102,3131,0.351964229,4463,12531,0.356156731
6,30-Day MH Medication Fill (1st Psychotropic Rx),2,COVERAGE CATEGORY,FFS,Adult-Art28 and 31,2015,Q1,1079,2891,0.373227257,1079,2891,0.373227257
6,30-Day MH Medication Fill (1st Psychotropic Rx),2,COVERAGE CATEGORY,FFS,Adult-Art28 and 31,2015,Q2,1108,3088,0.35880829,2187,5979,0.365780231
6,30-Day MH Medication Fill (1st Psychotropic Rx),2,COVERAGE CATEGORY,FFS,Adult-Art28 and 31,2015,Q3,1108,3085,0.359157212,3295,9064,0.363526037
6,30-Day MH Medication Fill (1st Psychotropic Rx),2,COVERAGE CATEGORY,FFS,Adult-Art28 and 31,2015,Q4,1058,3094,0.341952165,4353,12158,0.358035861
6,30-Day MH Medication Fill (1st Psychotropic Rx),2,COVERAGE CATEGORY,FFS,Adult-Art28 and 31,2016,Q1,1104,3032,0.364116095,1104,3032,0.364116095
6,30-Day MH Medication Fill (1st Psychotropic Rx),2,COVERAGE CATEGORY,FFS,Adult-Art28 and 31,2016,Q2,1046,2857,0.366118306,2150,5889,0.365087451
6,30-Day MH Medication Fill (1st Psychotropic Rx),2,COVERAGE CATEGORY,FFS,Adult-Art28 and 31,2016,Q3,1025,2789,0.367515238,3175,8678,0.365867711
6,30-Day MH Medication Fill (1st Psychotropic Rx),2,COVERAGE CATEGORY,FFS,Adult-Art28 and 31,2016,Q4,830,2470,0.336032389,4005,11148,0.359257266
6,30-Day MH Medication Fill (1st Psychotropic Rx),2,COVERAGE CATEGORY,FFS,Adult-Art28 and 31,2017,Q1,867,2618,0.331168831,867,2618,0.331168831
6,30-Day MH Medication Fill (1st Psychotropic Rx),2,COVERAGE CATEGORY,FFS,Adult-Art28 and 31,2017,Q2,926,2718,0.340691685,1793,5336,0.33601949
6,30-Day MH Medication Fill (1st Psychotropic Rx),2,COVERAGE CATEGORY,FFS,Adult-Art28 and 31,2017,Q3,866,2609,0.331927942,2659,7945,0.334675897
6,30-Day MH Medication Fill (1st Psychotropic Rx),2,COVERAGE CATEGORY,FFS,Adult-Art28 and 31,2017,Q4,823,2493,0.330124348,3482,10438,0.33358881
6,30-Day MH Medication Fill (1st Psychotropic Rx),2,COVERAGE CATEGORY,FFS,Youth-Art28 and 31,2014,Q1,340,695,0.489208633,340,695,0.489208633
